index,test_or_train,dialect_region,speaker_id,filename,path_from_data_dir,path_from_data_dir_windows,is_converted_audio,is_audio,is_word_file,is_phonetic_file,is_sentence_file
1,TRAIN,DR4,MMDM0,SI681.WAV.wav,TRAIN/DR4/MMDM0/SI681.WAV.wav,TRAIN\\DR4\\MMDM0\\SI681.WAV.wav,TRUE,TRUE,FALSE,FALSE,FALSE
2,TRAIN,DR4,MMDM0,SI1311.PHN,TRAIN/DR4/MMDM0/SI1311.PHN,TRAIN\\DR4\\MMDM0\\SI1311.PHN,FALSE,FALSE,FALSE,TRUE,FALSE
3,TRAIN,DR4,MMDM0,SI1311.WRD,TRAIN/DR4/MMDM0/SI1311.WRD,TRAIN\\DR4\\MMDM0\\SI1311.WRD,FALSE,FALSE,TRUE,FALSE,FALSE
4,TRAIN,DR4,MMDM0,SX321.PHN,TRAIN/DR4/MMDM0/SX321.PHN,TRAIN\\DR4\\MMDM0\\SX321.PHN,FALSE,FALSE,FALSE,TRUE,FALSE
5,TRAIN,DR4,MMDM0,SX321.WRD,TRAIN/DR4/MMDM0/SX321.WRD,TRAIN\\DR4\\MMDM0\\SX321.WRD,FALSE,FALSE,TRUE,FALSE,FALSE
6,TRAIN,DR4,MMDM0,SI681.TXT,TRAIN/DR4/MMDM0/SI681.TXT,TRAIN\\DR4\\MMDM0\\SI681.TXT,FALSE,FALSE,FALSE,FALSE,TRUE
7,TRAIN,DR4,MMDM0,SI1311.WAV.wav,TRAIN/DR4/MMDM0/SI1311.WAV.wav,TRAIN\\DR4\\MMDM0\\SI1311.WAV.wav,TRUE,TRUE,FALSE,FALSE,FALSE
8,TRAIN,DR4,MMDM0,SI681.WAV,TRAIN/DR4/MMDM0/SI681.WAV,TRAIN\\DR4\\MMDM0\\SI681.WAV,FALSE,TRUE,FALSE,FALSE,FALSE
9,TRAIN,DR4,MMDM0,SX51.PHN,TRAIN/DR4/MMDM0/SX51.PHN,TRAIN\\DR4\\MMDM0\\SX51.PHN,FALSE,FALSE,FALSE,TRUE,FALSE
10,TRAIN,DR4,MMDM0,SX231.WRD,TRAIN/DR4/MMDM0/SX231.WRD,TRAIN\\DR4\\MMDM0\\SX231.WRD,FALSE,FALSE,TRUE,FALSE,FALSE
11,TRAIN,DR4,MMDM0,SX141.WAV.wav,TRAIN/DR4/MMDM0/SX141.WAV.wav,TRAIN\\DR4\\MMDM0\\SX141.WAV.wav,TRUE,TRUE,FALSE,FALSE,FALSE
12,TRAIN,DR4,MMDM0,SX51.WRD,TRAIN/DR4/MMDM0/SX51.WRD,TRAIN\\DR4\\MMDM0\\SX51.WRD,FALSE,FALSE,TRUE,FALSE,FALSE
13,TRAIN,DR4,MMDM0,SX231.PHN,TRAIN/DR4/MMDM0/SX231.PHN,TRAIN\\DR4\\MMDM0\\SX231.PHN,FALSE,FALSE,FALSE,TRUE,FALSE
14,TRAIN,DR4,MMDM0,SX51.WAV.wav,TRAIN/DR4/MMDM0/SX51.WAV.wav,TRAIN\\DR4\\MMDM0\\SX51.WAV.wav,TRUE,TRUE,FALSE,FALSE,FALSE
15,TRAIN,DR4,MMDM0,SI1941.WRD,TRAIN/DR4/MMDM0/SI1941.WRD,TRAIN\\DR4\\MMDM0\\SI1941.WRD,FALSE,FALSE,TRUE,FALSE,FALSE
16,TRAIN,DR4,MMDM0,SX141.WRD,TRAIN/DR4/MMDM0/SX141.WRD,TRAIN\\DR4\\MMDM0\\SX141.WRD,FALSE,FALSE,TRUE,FALSE,FALSE
17,TRAIN,DR4,MMDM0,SA1.TXT,TRAIN/DR4/MMDM0/SA1.TXT,TRAIN\\DR4\\MMDM0\\SA1.TXT,FALSE,FALSE,FALSE,FALSE,TRUE
18,TRAIN,DR4,MMDM0,SA2.WAV,TRAIN/DR4/MMDM0/SA2.WAV,TRAIN\\DR4\\MMDM0\\SA2.WAV,FALSE,TRUE,FALSE,FALSE,FALSE
19,TRAIN,DR4,MMDM0,SX141.PHN,TRAIN/DR4/MMDM0/SX141.PHN,TRAIN\\DR4\\MMDM0\\SX141.PHN,FALSE,FALSE,FALSE,TRUE,FALSE
20,TRAIN,DR4,MMDM0,SX411.WAV,TRAIN/DR4/MMDM0/SX411.WAV,TRAIN\\DR4\\MMDM0\\SX411.WAV,FALSE,TRUE,FALSE,FALSE,FALSE
21,TRAIN,DR4,MMDM0,SI1941.PHN,TRAIN/DR4/MMDM0/SI1941.PHN,TRAIN\\DR4\\MMDM0\\SI1941.PHN,FALSE,FALSE,FALSE,TRUE,FALSE
22,TRAIN,DR4,MMDM0,SA2.TXT,TRAIN/DR4/MMDM0/SA2.TXT,TRAIN\\DR4\\MMDM0\\SA2.TXT,FALSE,FALSE,FALSE,FALSE,TRUE
23,TRAIN,DR4,MMDM0,SA1.WAV,TRAIN/DR4/MMDM0/SA1.WAV,TRAIN\\DR4\\MMDM0\\SA1.WAV,FALSE,TRUE,FALSE,FALSE,FALSE
24,TRAIN,DR4,MMDM0,SX411.WAV.wav,TRAIN/DR4/MMDM0/SX411.WAV.wav,TRAIN\\DR4\\MMDM0\\SX411.WAV.wav,TRUE,TRUE,FALSE,FALSE,FALSE
25,TRAIN,DR4,MMDM0,SX411.TXT,TRAIN/DR4/MMDM0/SX411.TXT,TRAIN\\DR4\\MMDM0\\SX411.TXT,FALSE,FALSE,FALSE,FALSE,TRUE
26,TRAIN,DR4,MMDM0,SX231.WAV,TRAIN/DR4/MMDM0/SX231.WAV,TRAIN\\DR4\\MMDM0\\SX231.WAV,FALSE,TRUE,FALSE,FALSE,FALSE
27,TRAIN,DR4,MMDM0,SX51.WAV,TRAIN/DR4/MMDM0/SX51.WAV,TRAIN\\DR4\\MMDM0\\SX51.WAV,FALSE,TRUE,FALSE,FALSE,FALSE
28,TRAIN,DR4,MMDM0,SX231.TXT,TRAIN/DR4/MMDM0/SX231.TXT,TRAIN\\DR4\\MMDM0\\SX231.TXT,FALSE,FALSE,FALSE,FALSE,TRUE
29,TRAIN,DR4,MMDM0,SI1941.WAV.wav,TRAIN/DR4/MMDM0/SI1941.WAV.wav,TRAIN\\DR4\\MMDM0\\SI1941.WAV.wav,TRUE,TRUE,FALSE,FALSE,FALSE
30,TRAIN,DR4,MMDM0,SX51.TXT,TRAIN/DR4/MMDM0/SX51.TXT,TRAIN\\DR4\\MMDM0\\SX51.TXT,FALSE,FALSE,FALSE,FALSE,TRUE
31,TRAIN,DR4,MMDM0,SX141.WAV,TRAIN/DR4/MMDM0/SX141.WAV,TRAIN\\DR4\\MMDM0\\SX141.WAV,FALSE,TRUE,FALSE,FALSE,FALSE
32,TRAIN,DR4,MMDM0,SA2.PHN,TRAIN/DR4/MMDM0/SA2.PHN,TRAIN\\DR4\\MMDM0\\SA2.PHN,FALSE,FALSE,FALSE,TRUE,FALSE
33,TRAIN,DR4,MMDM0,SX321.WAV.wav,TRAIN/DR4/MMDM0/SX321.WAV.wav,TRAIN\\DR4\\MMDM0\\SX321.WAV.wav,TRUE,TRUE,FALSE,FALSE,FALSE
34,TRAIN,DR4,MMDM0,SI1941.WAV,TRAIN/DR4/MMDM0/SI1941.WAV,TRAIN\\DR4\\MMDM0\\SI1941.WAV,FALSE,TRUE,FALSE,FALSE,FALSE
35,TRAIN,DR4,MMDM0,SX411.PHN,TRAIN/DR4/MMDM0/SX411.PHN,TRAIN\\DR4\\MMDM0\\SX411.PHN,FALSE,FALSE,FALSE,TRUE,FALSE
